,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver
9864,71110,2019,74.89,112,일본,15세이상관람가,애니메이션,신카이 마코토,1,0,0,0,1,0,0
9865,71119,2018,75.0,112,한국,전체관람가,공연,RM,0,0,0,0,0,0,0
9866,71126,2016,20.0,69,한국,12세이상관람가,드라마,김의곤,0,1,1,0,1,0,1
9867,71128,2019,49.67,90,미국,15세이상관람가,공포(호러),데이빗 야로베스키,0,0,0,0,1,0,0
9868,71130,2014,0.0,89,미국,캐나다,청소년관람불가,데이빗 해클,0,1,1,0,0,0,1
9869,71133,2018,0.0,34,미국,12세이상관람가,다큐멘터리,존 호프만,1,0,0,0,0,0,0
9870,71135,2016,0.0,107,영국,15세이상관람가,드라마,데이비드 르보,0,0,0,0,0,0,0
9871,71137,2014,0.0,97,캐나다,스페인,프랑스,클로디아 로사,0,1,1,0,0,0,1
9872,71139,2016,0.0,72,미국,전체관람가,액션,릭 모라레스,0,1,0,0,0,0,0
9873,71140,2016,83.33,72,미국,15세이상관람가,액션,제이 올리바,0,1,0,0,0,0,0
9874,71142,2016,0.0,74,미국,12세이상관람가,공포(호러),리 매튜스,0,0,1,0,1,0,1
9875,71144,2018,20.0,100,한국,15세이상관람가,공포(호러),윤은경,0,0,0,0,0,0,0
9876,71145,2018,0.0,117,미국,미정,공포(호러),캘빈 리 리더,0,0,0,0,0,0,0
9877,71146,2018,60.87,90,미국,15세이상관람가,스릴러,스테이시 패슨,0,1,1,0,1,0,0
9878,71147,2020,0.0,108,일본,미정,공포(호러),시미즈 다카시,0,0,0,0,0,0,0
9879,71148,2018,94.44,125,호주,15세이상관람가,드라마,안소니 마라스,1,0,1,0,1,0,0
9880,71149,2019,23.08,110,한국,15세이상관람가,코미디,남대중,0,0,1,0,1,1,0
9881,71151,2016,0.0,94,한국,슬로베니아,15세이상관람가,데얀 제체비치,0,1,1,0,1,0,1
