,movie_id,year,rating,running_time,country,age_limit,genre,director,netflix,wavve,tving,disney,watcha,coupang,naver,name,time_unit
8735,96410,2020,0.0,103,도미니카,청소년관람불가,드라마,호세 마리아 카브랄,0,0,0,0,1,0,0,코펠리아 호텔의 매춘부들,1
8736,96416,2020,91.43,104,미국,15세이상관람가,다큐멘터리,라이언 화이트,0,0,0,0,1,0,0,암살자들,1
8737,96418,2020,0.0,108,대만,미정,드라마,간학빈,0,0,0,0,1,0,0,"가불가이, 아희환니",1
8738,96419,2019,0.0,78,이탈리아,전체관람가,드라마,로사리오 네리,0,1,1,0,1,0,0,피에트로,1
8739,96425,2020,44.83,130,일본,12세이상관람가,드라마,제제 다카히사,1,1,1,0,1,0,0,실: 인연의 시작,2
8740,96442,2019,0.0,84,중국,15세이상관람가,코미디,마사,0,1,1,0,1,0,0,고수고수고고수,1
8741,96443,2019,0.0,26,한국,12세이상관람가,코미디,권혜진,0,0,0,0,1,0,0,춘배의 봄,0
8742,96446,2016,0.0,88,이탈리아,15세이상관람가,어드벤처(모험),마르코 세가토,0,0,1,0,1,0,0,곰가죽,1
8743,96488,2021,37.43,94,한국,15세이상관람가,드라마,김창주,0,0,1,0,1,0,0,발신제한,1
8744,96489,2018,0.0,99,일본,15세이상관람가,액션,아야베 마야,0,1,0,0,0,0,1,배틀로얄 : 프리즌 브레이크,1
8745,96490,2018,0.0,205,미국,12세이상관람가,다큐멘터리,톰 짐니,0,0,0,0,0,0,1,엘비스 프레슬리: 길을 만든 남자,2
8746,96498,2021,13.33,121,미국,15세이상관람가,,로베르트 슈벤트케,0,1,1,0,0,0,1,스네이크 아이즈: 지.아이.조,2
